question,reference,source,base_pred,ft_pred,base_rouge_l,ft_rouge_l,base_bleu,ft_bleu,base_semantic_sim,ft_semantic_sim,base_judge_score,ft_judge_score
नेपालको संखवधानले खशक्षा सम्बन्धी के प्रत्याभूि गरेको छ ?,"नेपालको संखवधानले खशक्षा सम्बन्धी मौखलक के रूपमा प्रत्याभूि गरेको छ । खशक्षामा पिुँच, आधारभूि ििसम्मको अखनवायि, खनःशुल्क खशक्षा िथा माध्यखमक ििसम्मको खनःशुल्क खशक्षा पाउने के प्रत्याभूि गरेको छ ।",15th-Plan-Approach-Paper-Draft-1684516952_18.pdf,"नेपालको संख्यावधानले खशक्षा सम्बन्धी के प्रत्याभूि गरेको छ, जो नेपालको संविधान (2072) के अनुसार ३० वर्ष प्रत्याभूि गरेको छ। 

नेपालको संविधान, २०७२ के अनुसार, संख्यावधानले खशक्षा सम्बन्धी के प्रत्याभूि गरेको छ, जो ३० वर्ष प्रत्याभ",खशक्षा सम्बन्धी प्रत्याभूि १.०० रदेर्िसि २०७९/८० म प गरेको छ । [Source: Economic-Survey-79-80-np.pdf],0.0,0.0,0.5612308478272345,0.18114987927485313,0.47896838,0.08222041,2.0,4.0
अनुच्छेदबाट यस प्रश्नको उत्तर तयार गर्नुहोस्: कर्मचारी संचय कोषले अवकाश कोष सञ्चालन गरेमा त्यस्तो कोषको लागि स्वीकृति लिनुपर्ने छैन ।,नदी अनुच्छेदमा लेखिएको छ कि कर्मचारी संचय कोषले अवकाश कोष सञ्चालन गरेमा त्यस्तो कोषको लागि स्वीकृति लिनुपर्ने छैन । त्यसैले उत्तर हो: छैन ।,आर्थिक-अध्यादेश-२०५९.pdf,"नेपालका संविधान अनुसार, कर्मचारी संचय कोषले अवकाश कोष सञ्चालन गरेमा त्यस्तो कोषको लागि स्वीकृति लिनुपर्ने छैन, किनभनी संविधान २०७२ का ३२अम अनुच्छेद अनुसार, ""संविधान सभा द्वारा निर्धारित केलेला कर्मचारी संचय कोष, अवकाश कोष, विश","जस्तो अनुच्छेदमा लेखिएको छ, ""कर्मचारी संचय कोषले अवकाश कोष सञ्चालन गरेमा त्यस्तो कोषको लागि स्वीकृति लिनुपर्ने छैन ।"" यस अनुच्छेदले स्पष्ट गर्दछ कि कर्मचारी संचय कोषले अवकाश कोष सञ्चालन गर्ने व्यावहारिक परिस्थितिहरू हुन्छन्,",0.0,0.0,0.5002654162798621,0.5628891279848879,0.459531,0.43579477,3.0,3.0
What is the responsibility of the creditor if the debtor fails to carry out necessary expenses and functions for a trust other than a Murda trust?,"The creditor is responsible for incurring necessary expenses himself or herself and carrying out such functions and repairs as he or she may carry out on his or her own, and for other functions and repairs, do so through the debtor or any of his or her relatives.",Muluki-Ain-General-Code-en.pdf,I am unable to verify the specific responsibility of the creditor if the debtor fails to carry out necessary expenses and functions for a trust other than a Murda trust.,"The creditor is responsible for carrying out the necessary expenses and functions for the trust, and if they fail to do so, the creditor shall be liable to the trust for the expenses and functions so not carried out. [Source: Muluki-Ain-General-Code-en.pdf]",0.2051282051282051,0.2978723404255319,0.46158392306223606,0.6971754051361001,0.59983015,0.73050505,1.0,1.0
What was the main focus of the government's first voluntary national review submitted to the High-Level Political Forum (HLPF) in June 2017?,The government's first voluntary national review submitted in June 2017 emphasized gearing up for progress as per the commitments to the 2030 Agenda.,National-Review-of-Sustainable-Developme-1684554160_15.pdf,I am unable to verify the main focus of the government's first voluntary national review submitted to the High-Level Political Forum (HLPF) in June 2017.,"The main focus of the government's first voluntary national review submitted to the High-Level Political Forum (HLPF) in June 2017 was the 2030 Agenda for Sustainable Development, specifically the 16 Goals of the Agenda. [Source: National-Review-of-Sustainable-Developme-1684554160_15.pdf]",0.4313725490196078,0.43478260869565216,0.6842998274659793,0.43576473852679903,0.57364166,0.75720805,2.0,3.0
What are the districts in Nepal that have the lowest HDI values according to the data from 2011?,"Bajura, Bajhang, Kalikot, Humla, and Achham have the lowest HDI values for 2011.",Nepal-Human-Development-Report-2014-1684513874_79.pdf,"I'm unable to provide the specific districts in Nepal with the lowest HDI (Human Development Index) values from 2011 data. The Human Development Index (HDI) data for Nepal is available from the United Nations Development Programme (UNDP) and the World Bank, but I do not have access to the specific data for 2011.

However, I can suggest some sources where you can find the HDI data for Nepal:

1. The United Nations Development Programme (UNDP) Nepal's Human Development Report 2011: ""Nepal: Human Development Report 2011"" (available in Nepali and English)","The districts with the lowest HDI values are Dolpa (0.394), Mugu (0.395), Humla (0.403), and Sankhuwasabha (0.405). [Source: Nepal-Human-Development-Report-2014-1684513874_79.pdf]",0.1142857142857143,0.18604651162790697,0.11591345863028278,0.313876745733331,0.53093493,0.72191334,1.0,1.0
What happens to a woman's exclusive property (Pewa) if she dies without making a deed?,"Her property goes to the son or daughter living with her if any; if not, it goes to the son or daughter living separately if any; if not, it goes to the husband; if not, it goes to a married daughter; and if none of them exist, it goes to a son's son or unmarried daughter, or if none, to the heir (Hakwala).",Muluki-Ain-General-Code-en.pdf,"According to the Nepalese law, as stated in the Hindu Succession Act, 2017 (Act 18 of 2017), which is applicable to the Hindu women, if a woman dies without making a deed, her exclusive property (Pewa) devolves to her heirs.

Section 35 of the Act states that ""When a Hindu woman dies without a will, her property shall devolve by survivorship upon her husband, children, and other heirs according to the rules of Hindu succession.""

However, if the woman is not married, her exclusive property devolves to her heirs according to the rules of Hindu succession.

","The exclusive property (Pewa) of a woman shall devolve on her husband or children, and if there is no husband or children, it shall devolve on the nearest relatives. [Source: Muluki-Ain-General-Code-en.pdf]",0.17500000000000002,0.14,0.42969141017213386,0.3939794607414247,0.6435025,0.7418375,2.0,2.0
What is the approximate VGF required per kW for Solar with 200 kWh battery storage?,"Approximately NPR 85,000.",Final-Report-on-Study-and-Analysis-of-Op-1684516133_32.pdf,"I am unable to provide a specific value for the Value-Added Tax (VAT) or Goods and Services Tax (VAT) required per kW for solar power with 200 kWh battery storage in Nepal. 

However, I can provide some general information. According to the Nepal Electricity Act, 2017, as amended by the Nepal Electricity Act, 2021, the Value-Added Tax (VAT) is 13% on the sale of solar power systems, including solar panels and inverters. 

The Goods and Services Tax (GST) is 13% on the sale of solar power systems, including solar panels and","The approximate VGF required per kW for Solar with 200 kWh battery storage is NPR 120,000/kW. [Source: Final-Report-on-Study-and-Analysis-of-Op-1684516133_32.pdf]",0.0,0.11764705882352941,0.02606205357480756,0.13135173437318345,-0.03432051,0.19997802,4.0,4.0
What is the percentage of Nepal's flora and fauna that the government is committed to conserving?,"The government is committed to conserving 9.5 per cent of birds, 5.1 per cent of gymnosperms, 8.2 per cent of bryophytes, and 9.5 per cent of the world's known mammals.",National-Review-of-Sustainable-Developme-1684554160_15.pdf,"I am unable to verify the specific percentage of Nepal's flora and fauna that the government is committed to conserving. However, I can tell you that Nepal has made significant efforts to conserve its natural resources and biodiversity.

According to the Government of Nepal's National Biodiversity Policy (2011), the country aims to conserve and manage its natural resources sustainably. The policy emphasizes the importance of protecting Nepal's rich biodiversity, including its flora and fauna, and promoting sustainable use of natural resources.

The government has also established several protected areas, including national parks, wildlife sanctuaries, and conservation areas, which cover around 18% of the",The government is committed to conserving 30% of Nepal's flora and fauna. [Source: Nepals-SDG-Status-and-Roadmap-2016-2030-1684515827_15.pdf],0.1702127659574468,0.2711864406779661,0.19892235316614085,0.4241301445088622,0.46103173,0.45710626,1.0,2.0
What was the growth rate of the wholesale and retail trade; repair of motor vehicles and motorcycles sector in 2021/22 compared to the previous year?,"The growth rate of the wholesale and retail trade; repair of motor vehicles and motorcycles sector in 2021/22 was 17.23%, which is an increase of 10.71% from the previous year.",Nepal-Statistical-Yearbook-2023.pdf,I am unable to verify the growth rate of the wholesale and retail trade; repair of motor vehicles and motorcycles sector in 2021/22 in Nepal.,"The growth rate of the wholesale and retail trade; repair of motor vehicles and motorcycles sector in 2021/22 was 2.2 percent, which is a slight increase from the previous year's growth rate of 2.1 percent. [Source: Economic-Survey-22-23.pdf]",0.6440677966101696,0.6923076923076923,0.694894236930444,0.680905965900346,0.76220936,0.9140464,2.0,5.0
What methods were used to collect primary data for this study on the impact of COVID-19 on Nepalese migrant workers?,Primary data was collected from two sources: Diplomatic Missions via the Ministry of Foreign Affairs (MoFA) through a questionnaire and from returnee migrant workers who participated in an opinion survey of 1000 pre-pandemic migrant returnee workers.,THE-EFFECTS-OF-COVID-19-PANDEMIC-ON-FORE-1684556068_18.pdf,"I'm not aware of a specific study on the impact of COVID-19 on Nepalese migrant workers. However, I can provide general information on the methods commonly used to collect primary data in social science research, particularly in the context of migrant workers.

In general, researchers often use a combination of qualitative and quantitative methods to collect primary data. Some common methods used to collect primary data in this context include:

1. Surveys: Researchers may conduct surveys among migrant workers to gather information on their experiences, perceptions, and challenges related to the pandemic.
2. Interviews: In-depth interviews with migrant workers, as well as with employers, policymakers","The primary data for this study was collected through a combination of methods, including in-depth interviews with returnee migrant workers, key informants, and a survey of returnee migrant workers conducted in mid-March 2020. [Source: THE-EFFECTS-OF-COVID-19-PANDEMIC-ON-FORE-1684556068_18.pdf]",0.15172413793103448,0.30952380952380953,0.29233022039912343,0.6092507207036904,0.5469999,0.735268,4.0,4.0
What are the targeted activities to reduce inequality in Nepal?,"The targeted activities to reduce inequality in Nepal include income generation activities, support for micro enterprises, and many other affirmative actions, which are to be successively strengthened and expanded in the coming years.",National-Review-of-Sustainable-Developme-1684554160_15.pdf,"According to the Constitution of Nepal (2015) and various government reports, the following targeted activities have been implemented to reduce inequality in Nepal:

1. **Social Inclusion and Empowerment of Marginalized Groups**: The Constitution of Nepal (2015) recognizes the rights of marginalized groups, including Dalits, Janajatis, Madigans, and indigenous peoples. The government has implemented policies to promote social inclusion and empowerment of these groups, such as the Social Inclusion and Empowerment of Marginalized Groups Act, 2017 (Act 18 of 2017) [1].
2. **Education and Economic","The targeted activities to reduce inequality in Nepal include increasing access to basic services such as health, education, and social protection, promoting social cohesion, and reducing poverty and inequality through sustainable development. [Source: National-Review-of-Sustainable-Developme-1684554160_15.pdf]",0.2051282051282051,0.2972972972972973,0.3468596697445091,0.6085486316242066,0.75079465,0.80407894,1.0,4.0
यातायात सेवाको मालसामाि शजभमा लगाउने के कारणले गरिन्छ ?,"यातायात सेवाको मालसामाि शजभमा लगाउने कारणले गरिन्छ तपाईँको यातायात सेवाको राम्रो परिचालन गर्न, यात्राहरूलाई सुरक्षित र सहज यात्रा गराउनु र यात्रुहरूको विश्वास प्राप्त गर्नु हो ।",6.-सवारी-तथा-यातायात-व्यवस्था-नियमावली-२०५४.pdf,"नेपालको यातायात सेवा शजभमा लगाउने के कारणले गरिन्छ, त्याचा विस्तार निम्नलिखित कारणहरू हो:

1. **राष्ट्रीय सुरक्षा**: यातायात सेवा शजभमा लगाउने के कारण नेपालको राष्ट्रीय सुरक्षा बढ्याएको हो। यातायात सेवा शजभमा लगाउने के कारण, नेप",यातायात सेवाको मालसामाि शजभमा लगाउने कारणले गरिन्छ कि यातायात सेवाको मालसामाि शजभमा लगाउने कारणले गरिन्छ कि यातायात सेवाको मालसामाि शजभमा लगाउने कारणले गरिन्छ कि यातायात सेवाको मालसामाि शजभमा लगाउने कारणले गरिन्छ कि,0.0,0.0,0.5594704528144944,0.5271172931428793,0.39063,0.61764157,1.0,2.0
"If a civil employee takes advance sick leave due to a serious disease, can they receive their full salary during this period?","Yes, the civil employee taking such advance leave shall be entitled to full salary, as per sub-rule (9) of the passage.",Good-Governance-Act-2050-en.pdf,"According to the Labour Act of Nepal (2017), which is the primary legislation governing employment in Nepal, employees who are sick and unable to work can be granted advance sick leave (Section 43 of the Act).

However, the Labour Act does not explicitly state that an employee can receive their full salary during the period of advance sick leave. In fact, the Act states that the employer can pay the employee's salary at the rate of half of the basic salary during the period of sick leave (Section 43(2) of the Act).

The Labour Act also provides that the employer can pay the employee's salary at the rate of half","Yes, a civil employee who takes advance sick leave due to a serious disease shall be entitled to receive their salary and allowance as if they were on regular service, and the salary and allowance shall be paid to them in advance. [Source: Civil-Service-Rules-2050-en.pdf]",0.1037037037037037,0.3380281690140845,0.17000197925416588,0.38090905511686624,0.5263292,0.70726573,2.0,3.0
What is the punishment for committing burglary under the given legal document?,"According to the document, if a person commits burglary, they shall be punished with an additional half (Fifty percent) of the punishment as referred to in Number 12 of this Chapter.",Muluki-Ain-General-Code-en.pdf,"I need more information about the specific legal document you are referring to. Could you please provide the name of the document or the exact section you are interested in? 

However, I can provide general information on the punishment for burglary under the Nepalese Penal Code, 2017.

According to Section 394 of the Nepalese Penal Code, 2017, burglary is defined as the unauthorized entry into a house or other building with the intention of committing an offense. The punishment for burglary can vary depending on the circumstances of the case.

Section 394(1) states that whoever intentionally enters a house or other building with the intention",The person who commits burglary shall be liable to the punishment of imprisonment for a term of Two years. [Source: Muluki-Ain-General-Code-en.pdf],0.13138686131386862,0.3157894736842105,0.25414442568255974,0.5422609250933493,0.5657588,0.7653239,1.0,2.0
"What should be done with posts that have been requisitioned for fulfillment, and the requisition form has been submitted?",Such posts shall not be fulfilled by making transfer thereto.,Civil-Service-Rules-2050-en.pdf,"According to the Constitution of Nepal 2017, Article 38, which deals with the requisition of goods and services, and the Public Service Act 1961, Section 24, which deals with the requisition of goods and services by the government, when a requisition form has been submitted, the posts should be utilized for the intended purpose.

In the context of requisitioning goods and services, the government is allowed to requisition goods and services for the purpose of public service, and the requisitioned goods and services should be utilized for the intended purpose.

However, the requisitioned goods and services should be returned to","The post shall be filled up by the concerned employee, and the concerned employee shall submit a report to the concerned office within seven days, stating the reason for not filling up the post, and the post shall be filled up by the concerned employee. [Source: Civil-Service-Rules-2050-en.pdf]",0.03636363636363636,0.12903225806451613,0.079241700438424,0.1684158185208639,0.24802297,0.37271756,1.0,2.0
What is the procedure if a civil employee makes an application stating that the leave they took is not necessary for them?,"If any civil employee makes an application stating that the leave taken by them is not necessary, the official empowered to sanction the leave may cancel such a leave and permit them to attend the office.",Good-Governance-Act-2050-en.pdf,"I'm not aware of the specific procedure for handling such a situation in Nepal. I can provide general information on the leave policies in Nepal, but I would recommend consulting the relevant government departments or the Ministry of Federal Government Affairs for the most accurate and up-to-date information.

However, I can provide some general information on the leave policies in Nepal. According to the Ministry of Federal Government Affairs, the leave policies in Nepal are governed by the following laws and regulations:

* The Civil Service Act, 2015 (Act 18 of 2015) regulates the leave policies for civil servants in Nepal.
* The Leave Rules and Regulations for Civil",The office shall not approve the leave if the employee makes an application stating that the leave they took is not necessary for them. [Source: Good-Governance-Act-2050-en.pdf],0.12328767123287672,0.3880597014925373,0.26650147604826363,0.6480125727423305,0.4588868,0.83881426,2.0,2.0
"According to the policy, what is the responsibility of the entrepreneur in ensuring compliance with health protocols among their workers?",The entrepreneur in concern will have to personally monitor whether the workers in his business have complied with the prescribed protocol and report back regularly to the concerned administrative body.,THE-EFFECTS-OF-COVID-19-PANDEMIC-ON-FORE-1684556068_18.pdf,I am unable to verify the specific policy regarding the responsibility of entrepreneurs in ensuring compliance with health protocols among their workers in Nepal.,"The entrepreneur is responsible for ensuring that their workers comply with the health protocols, as per the policy. [Source: Good-Governance-Act-2050-en.pdf]",0.14814814814814814,0.2181818181818182,0.5944082423789033,0.5531641458680537,0.4934081,0.5772547,1.0,1.0
What are the sources of data used in the study to understand the impacts of COVID-19 on Nepali migrant labour?,"The sources of data used in the study include the Central Bureau of Statistics (CBS) survey on returnee migrants and absentee population (2017/18), Department of Immigration data on departures and arrivals of Nepalese at the Tribhuvan International Airport, Nepal Rastra Bank's compilation of macroeconomic data, particularly remittance data, and data compiled by non-Government sources such as the Non-Resident Nepalese Association (NRNA), Nepal Association of Foreign Employment Agencies, association of NGOs, and CSOs.",THE-EFFECTS-OF-COVID-19-PANDEMIC-ON-FORE-1684556068_18.pdf,"The impacts of COVID-19 on Nepali migrant labour can be studied using various sources of data. Some of the key sources of data include:

1. **National Bureau of Statistics (NBS) of Nepal**: The NBS has published reports on the impact of COVID-19 on the migrant labour sector in Nepal. For example, the NBS has released data on the number of migrant workers who have returned to Nepal from abroad, as well as the number of migrant workers who have been affected by the pandemic (Source: National Bureau of Statistics, 2020).
2. **International Labour Organization (ILO)**: The ILO","The study uses a combination of primary and secondary data sources, including the National Statistical Office of Nepal, International Labour Organization, Nepal Rastra Bank, Nepal Rastra Bank, and various government agencies, as well as reports from the Ministry of Foreign Affairs, Ministry of Labour, Employment and Social Security, and the Ministry of Agriculture and Livestock Development. [Source: THE-EFFECTS-OF-COVID-19-PANDEMIC-ON-FORE-1684556068_18.pdf]",0.2171428571428571,0.2638888888888889,0.661133669127795,0.6324145278742191,0.68445086,0.7705357,2.0,2.0
"According to the passage, what is the period of time for which the annual work performance evaluation form is filled?","The annual work performance evaluation form is filled based on the work carried out from the 1st day of the month of Shrawan to the last day of the month of Ashadh, which falls between July 15 to July 14.",Good-Governance-Act-2050-en.pdf,I don't have any information about the passage you are referring to. Could you please provide the passage or more context about the annual work performance evaluation form in Nepal? I'll be happy to help you with the information.,"The annual work performance evaluation form is filled for the period of the year, as per the passage. [Source: Civil-Service-Rules-2050-en.pdf]",0.19753086419753088,0.3692307692307692,0.5841932023688882,0.4459280219408919,0.5353792,0.7204793,1.0,2.0
"According to the National Framework for Leave No One Behind, what is the average literacy rate of the Chhetri community?",The average literacy rate of the Chhetri community is 80.6%.,National-Framework-For-Leave-No-One-Behi-LNOB-UPDATED-REPORT-Sept-3-2023-updated.pdf,I am unable to verify the average literacy rate of the Chhetri community in Nepal according to the National Framework for Leave No One Behind.,The average literacy rate of the Chhetri community is 95.6 percent. [Source: National-Framework-For-Leave-No-One-Behi-1684516042_10.pdf],0.4444444444444444,0.5882352941176471,0.3638054564583058,0.42040803915955055,0.5695592,0.7652688,2.0,3.0
